	category	 package 	 min_sdk 	 targ_sdk 	 #Services 
230	BEAUTY	com.andromo.dev597108.app809699	24	14	0
231	BEAUTY	com.andromo.dev597108.app810135	24	14	0
232	BEAUTY	com.animeinpisration.picturesall	24	15	8
233	BEAUTY	com.anz.makeup	27	14	0
234	BEAUTY	com.arcsoft.perfect365	19	16	70
235	BEAUTY	com.barilab.handmirror.googlemarket	25	11	4
236	BEAUTY	com.Bdroid.MyBestHairstylesstepbystep	21	9	0
237	BEAUTY	com.beautysystemsgroup.stylist.canada	27	19	9
238	AUTO_AND_VEHICLES	forderror.forddtc.elm327.fordtroublecode.oht.fordscan.fordsysscan	23	15	6
239	AUTO_AND_VEHICLES	horhomun.oliviadrive	27	14	6
240	BEAUTY	com.jazirat.murmaris_18	27	15	10
241	BEAUTY	com.jkfantasy.camera.jkpmirrorcamera	23	14	2
242	BEAUTY	com.junjundroid.makeuptutorial	18	9	0
243	BEAUTY	com.kawaii.kitty.cupcat.theme	19	14	2
244	BEAUTY	com.lab.photo.editor.filters.forSnapchat	19	9	1
245	BEAUTY	com.launcher.theme.t211799967	19	14	2
246	BEAUTY	com.launcher.theme.t211800390	19	14	2
247	BEAUTY	com.lyrebirdstudio.beauty	26	23	3
248	BEAUTY	com.andromo.dev597108.app806919	24	14	0
249	BEAUTY	com.lajeuneandassociatesllc.barberchopdev	26	15	2
250	BEAUTY	com.launcher.theme.t211806685	19	14	2
251	BEAUTY	com.makeup.photo.grid.salon	25	16	0
252	BEAUTY	com.MakeuP.TutoRial	24	15	7
253	BEAUTY	com.northpark.beautycamera	22	14	4
254	BEAUTY	com.northpark.periodtracker	25	14	12
255	BEAUTY	com.outthinking.facemakeup	23	16	3
256	BEAUTY	com.perfectcorp.ycn	23	19	14
257	BEAUTY	com.themelab.launcher.elephant	22	16	3
258	BEAUTY	com.themelab.launcher.fashioncat	22	16	14
259	BEAUTY	com.trending.facetoner	25	21	1
260	BEAUTY	com.trove	27	16	8
261	BEAUTY	com.vanford.FaceBlemishesClean	22	14	3
262	BEAUTY	com.vanitymirror.light	14	14	0
263	BEAUTY	com.wYouniqueMakeup_6271763	25	14	14
264	BEAUTY	com.zelihazisanapp.adimadimmakyaj	23	9	1
265	BEAUTY	com.zelihazisanapp.makyajegitimiyeni	23	9	1
266	BEAUTY	dailytools.facemakeup	22	15	3
267	BEAUTY	dog.pet.cute.puppy	19	14	2
268	BEAUTY	dsa.filters.for.selfie	25	14	0
269	BEAUTY	eyebrow.makeup_virtualapps	19	9	1
270	BEAUTY	fr.officinea.cleanbeauty	26	18	7
271	BEAUTY	hairstyles.haircut.hairstyleapp	23	15	0
272	BEAUTY	keyboard.theme.k820000476	26	15	2
273	BEAUTY	keyboard.theme.k820001261	26	15	2
274	BEAUTY	keyboard.theme.k820006797	26	15	2
275	BEAUTY	keyboard.theme.k820007543	26	15	2
276	BEAUTY	kr.bskco.thebodyshop	25	16	5
277	BEAUTY	kr.co.company.hwahae	23	16	10
278	BEAUTY	live.wallpaper.girl.butt.rump	21	14	3
279	BEAUTY	net.booksy.customer	26	15	9
280	BEAUTY	net.kurdsofts.tieatie	25	17	5
281	BEAUTY	sad.man.hairstyle	24	15	17
282	BEAUTY	top.haircolorchanger	26	16	0
283	BEAUTY	website.pawanth.truefacemirror	25	16	0
284	BEAUTY	com.catface.cameraeditor.selfiesnapcatcatchat	18	9	0
285	BEAUTY	com.cognivint.cimsg	24	19	5
286	BEAUTY	com.czene.nailbook	27	16	6
287	BEAUTY	com.dreamcode.hot.girl.app.bikinis.models.wallpaper	27	14	11
288	BOOKS_AND_REFERENCE	air.ie.capture.fisherprice	25	14	0
289	BOOKS_AND_REFERENCE	an.SpanishTranslate	20	16	0
290	BOOKS_AND_REFERENCE	app.librivox.android	27	14	11
291	BEAUTY	com.fashion.teenoutfits	26	15	0
292	BOOKS_AND_REFERENCE	best2017translatorapps.all.language.translator.free	26	15	0
293	BEAUTY	com.filters.forMusically.filters4musically	25	16	3
294	BOOKS_AND_REFERENCE	com.addictedapp.addicted	27	19	5
295	BOOKS_AND_REFERENCE	com.adobe.digitaleditions	21	19	2
296	BOOKS_AND_REFERENCE	com.aldiko.android	22	14	10
297	BOOKS_AND_REFERENCE	com.alienskills.geekappv20	26	15	7
298	BEAUTY	com.gangnam.sister	26	15	10
299	BOOKS_AND_REFERENCE	com.ancestry.android.apps.ancestry	26	21	8
300	BOOKS_AND_REFERENCE	com.andromo.dev323337.app507034	24	14	3
301	BOOKS_AND_REFERENCE	com.audible.application	25	16	35
302	BEAUTY	com.hafr.alwajh_15	27	15	10
303	BOOKS_AND_REFERENCE	com.audubon.mobile.android	22	21	4
304	BOOKS_AND_REFERENCE	com.bluefirereader	14	14	1
305	BOOKS_AND_REFERENCE	com.conem.app.pocketthesaurus	27	16	10
306	BOOKS_AND_REFERENCE	com.createyouranimojiadvice.animojiforandroid	23	15	0
307	BOOKS_AND_REFERENCE	com.csnmedia.android.bg	25	16	5
308	BOOKS_AND_REFERENCE	com.curse.dndbeyond	27	19	2
309	BOOKS_AND_REFERENCE	com.desjardins.mobile.hubad	17	8	0
310	BOOKS_AND_REFERENCE	com.dictionary	27	16	12
311	BOOKS_AND_REFERENCE	com.ea.gp.nbalivecompanion	22	19	3
312	BOOKS_AND_REFERENCE	com.ebooks.ebookreader	24	14	10
313	BOOKS_AND_REFERENCE	com.eighteen.goradar	25	16	9
314	BOOKS_AND_REFERENCE	com.mobisystems.ubreader_west	27	15	14
315	BOOKS_AND_REFERENCE	com.moviestowatch.freealltime	25	15	7
316	BOOKS_AND_REFERENCE	com.MpFish.KnotsLite	26	15	7
317	BOOKS_AND_REFERENCE	com.mustread	27	16	8
318	BOOKS_AND_REFERENCE	com.mybenta.artofwar	26	16	3
319	BOOKS_AND_REFERENCE	com.neptuns.usefulfishingknots	23	9	2
320	BOOKS_AND_REFERENCE	com.neptuns.usefulknots	27	14	4
321	BOOKS_AND_REFERENCE	com.ng.mangazone	20	15	13
322	BOOKS_AND_REFERENCE	com.nhn.android.search	23	16	20
323	BOOKS_AND_REFERENCE	com.oodles.download.free.ebooks.reader	26	19	17
324	BOOKS_AND_REFERENCE	com.overdrive.mobile.android.libby	27	19	1
325	BOOKS_AND_REFERENCE	com.overdrive.mobile.android.mediaconsole	27	14	9
326	BOOKS_AND_REFERENCE	com.overwolf.statsroyale	27	17	10
327	BOOKS_AND_REFERENCE	com.prestigio.ereader	23	15	4
328	BOOKS_AND_REFERENCE	com.qidian.Int.reader	24	14	11
329	BOOKS_AND_REFERENCE	com.quran.labs.androidquran	27	14	2
330	BOOKS_AND_REFERENCE	com.raytechnos.nitnem	23	14	2
331	BOOKS_AND_REFERENCE	com.represently.lure	26	16	6
332	BOOKS_AND_REFERENCE	com.scdgroup.app.audio_book_librivox	27	15	9
333	BOOKS_AND_REFERENCE	com.scribd.app.reader0	25	19	21
334	BOOKS_AND_REFERENCE	com.softissimo.reverso.context	26	17	18
335	BOOKS_AND_REFERENCE	com.spanishdict.spanishdict	27	19	1
336	BOOKS_AND_REFERENCE	com.tapastic	26	19	10
337	BOOKS_AND_REFERENCE	com.tencent.weread	23	19	20
338	BOOKS_AND_REFERENCE	com.ticktalk.dictionary	26	14	3
339	BOOKS_AND_REFERENCE	com.tos.englishgrammarnet	26	14	0
340	BOOKS_AND_REFERENCE	com.urbandictionary.android	25	19	12
341	BOOKS_AND_REFERENCE	com.vansteinengroentjes.apps.ddfive	27	14	4
342	BOOKS_AND_REFERENCE	com.vibe.face.freevideocall	26	14	0
343	BOOKS_AND_REFERENCE	com.WahegurooNetwork.SundarGutka	27	16	2
344	BOOKS_AND_REFERENCE	com.wikihow.wikihowapp	21	14	0
345	BOOKS_AND_REFERENCE	com.ximalaya.ting.himalaya	26	16	14
346	BOOKS_AND_REFERENCE	horoscope.palmistry.fortune.teller	26	19	9
347	BUSINESS	air.com.adobe.connectpro	21	14	0
348	BOOKS_AND_REFERENCE	com.faultexception.reader	27	16	0
349	BUSINESS	ca.jobbank.mobile	25	14	7
350	BUSINESS	ca.skipthedishes.dashboard	25	16	11
351	BOOKS_AND_REFERENCE	com.fivestarsstudios.fnaf6	27	15	5
352	BUSINESS	com.adpmobile.android	27	21	14
353	BUSINESS	com.agendrix.android	27	16	17
354	BUSINESS	com.airwatch.androidagent	24	14	21
355	BUSINESS	com.airwatch.browser	24	15	8
356	BUSINESS	com.amazon.sellermobile.android	25	19	7
357	BUSINESS	com.androidrocker.callblocker	26	14	1
358	BUSINESS	com.appswiz.watchallmovieshhbhd	25	14	6
359	BUSINESS	com.appxy.hourskeepernew	26	17	9
360	BUSINESS	com.appxy.tinyscanner	23	11	2
361	BUSINESS	com.kdanmobile.android.pdfreader.google.pad	25	16	26
362	BUSINESS	com.kronos.mobile.android	22	22	3
363	BUSINESS	com.logmein.gotowebinar	25	19	2
364	BUSINESS	com.logmein.joinme	28	19	12
365	BUSINESS	com.mcdonalds.OurloungeCA	25	19	11
366	BOOKS_AND_REFERENCE	com.linguee.linguee	23	17	5
367	BUSINESS	com.microsoft.rdc.android	24	16	5
368	BUSINESS	com.microsoft.teams	27	19	18
369	BUSINESS	com.microsoft.windowsintune.companyportal	27	19	26
370	BUSINESS	com.mobisystems.office	27	16	31
371	BUSINESS	com.mokinetworks.bamboohr	25	16	9
372	BUSINESS	com.moneris.pos	23	21	3
373	BUSINESS	com.observa.observa	23	18	12
374	BOOKS_AND_REFERENCE	org.geometerplus.zlibrary.ui.android	26	14	12
375	BOOKS_AND_REFERENCE	org.jw.jwlibrary.mobile	27	16	3
376	BUSINESS	com.purolator.mobileapp	25	18	0
377	BUSINESS	com.ringcentral.android	26	19	17
378	BUSINESS	com.salesforce.chatter	23	21	14
379	BUSINESS	com.sevenshifts.android	27	19	3
380	BUSINESS	com.shapr	26	17	5
381	BOOKS_AND_REFERENCE	sanity.freeaudiobooks	27	15	12
382	BUSINESS	com.delco.courier	25	16	10
383	BUSINESS	com.documentfactory.resume	27	21	4
384	BUSINESS	com.duosecurity.duomobile	25	21	8
385	BUSINESS	com.aadhk.time	19	7	5
386	BUSINESS	com.aadhk.woinvoice	22	16	8
387	BUSINESS	com.asana.app	21	21	10
388	BUSINESS	com.lane.mybrookfield	26	16	8
389	BUSINESS	com.linkedin.android.jobs.jobseeker	27	18	7
390	BUSINESS	com.dynamixsoftware.printershare	26	3	1
391	BUSINESS	com.etsy.android.soe	23	16	24
392	BUSINESS	com.facebook.adsmanager	23	16	6
393	BUSINESS	com.facebook.pages.app	25	21	96
394	BUSINESS	com.facebook.work	25	22	130
395	BUSINESS	com.facebook.workchat	23	21	75
396	BUSINESS	com.fedex.ida.android	23	14	12
397	BUSINESS	com.fiberlink.maas360.android.control	27	16	24
398	BUSINESS	com.fiverr.fiverr	27	16	15
399	BUSINESS	com.glykka.easysign	23	15	15
400	BUSINESS	com.simplescan.scanner	23	14	0
401	BUSINESS	com.Slack	25	19	16
402	BUSINESS	com.squareup	26	19	7
403	BUSINESS	com.taketheinterview.android.cm	27	19	1
404	BUSINESS	com.thegrizzlylabs.geniusscan.free	27	21	7
405	BUSINESS	com.thisclicks.wiw	26	19	22
406	BUSINESS	com.ultimatesoftware.ultipromobile	25	19	3
407	BUSINESS	com.upincode.showpass	26	19	2
408	BUSINESS	com.ups.mobile.android	26	22	5
409	COMICS	air.bahraniapps.comicpagecreator	19	9	0
410	COMICS	air.bahraniapps.drawexpressivecomics	19	9	0
411	COMICS	air.bahraniapps.expressivecomiccreator	19	9	0
412	COMICS	air.com.touchmultimedia.comicpuppetsfree	17	8	0
413	COMICS	aviad.a.teentitanswallpaper	27	19	8
414	BUSINESS	nextapp.fx	23	16	5
415	COMICS	com.acoustiguide.avengers	22	16	2
416	COMICS	com.aerilys.acr.android	25	16	6
417	BUSINESS	com.good.goodconnect	24	21	3
418	COMICS	com.at.meme.maker	14	5	0
419	COMICS	com.avatarmaker.cartoonmaker	25	16	0
420	COMICS	com.bangkillagi.caljo	24	14	0
421	COMICS	com.bendy.and.the.ink.machine.qos	27	14	6
422	COMICS	com.bendy.ink.machine.video.songs.joel	25	14	6
423	BUSINESS	com.google.android.apps.meetings	27	21	9
424	COMICS	com.cartnostudio.mangamania.mangareader	26	16	4
425	COMICS	com.collectorz.javamobile.android.comics	22	15	12
426	COMICS	com.colorjoy.learn.to.draw.glow.comics	22	15	1
427	COMICS	com.contentsfirst.tappytoon	26	15	9
428	COMICS	com.creative.Learn.to.draw.comics	22	15	2
429	BUSINESS	com.indymobileapp.document.scanner	22	17	1
430	COMICS	com.mangadaily.comic	23	15	9
